id,rent_price,rent_price_by_area,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,district,neighborhood,avg_district_rent,median_district_rent,std_district_rent,overpriced,built_year,has_lift,has_ac,has_pool,has_parking,is_furnished
21692,1135,,126.0,105.0,4,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21691,1172,,158.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,True,True,True,
21690,604,,65.0,52.0,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21689,847,,108.0,,3,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,1978.0,True,,,False,
21688,638,,62.0,48.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1984.0,True,True,,False,
21687,492,,51.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1967.0,False,,,False,
21686,1172,,112.0,80.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2013.0,True,True,True,True,
21685,968,,109.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21684,940,,107.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21683,790,,76.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21682,933,,105.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21681,982,,109.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21680,974,,108.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21679,1014,,109.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21678,793,,76.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21677,783,,76.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21676,970,,108.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21675,799,,76.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21674,978,,109.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21673,1011,,108.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21672,960,,108.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21671,1011,,111.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21670,1020,,115.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21669,1011,,115.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21668,1050,,117.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21667,1048,,117.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21666,1052,,117.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21665,977,,118.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21664,1046,,115.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21663,666,,97.0,91.0,4,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1970.0,False,,,False,
21662,1071,,106.0,81.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21661,1025,,103.0,79.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21660,1024,,103.0,79.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21659,1027,,103.0,79.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21658,1080,,114.0,85.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21657,777,,150.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1993.0,,,,True,
21656,1128,,140.0,,3,3,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2004.0,True,True,True,False,
21655,471,,58.0,,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1951.0,False,True,,False,
21654,512,,65.0,,3,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21653,833,,110.0,,4,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,1978.0,False,,,False,
21652,1116,,173.0,107.0,4,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,True,True,True,
21651,766,,75.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,True,True,,False,
21650,861,,90.0,,1,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21649,948,,125.0,87.0,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,1996.0,True,True,,True,
21648,471,,58.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1968.0,False,,,False,
21647,780,,92.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,1962.0,True,True,,False,
21646,613,,70.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1975.0,False,True,,False,
21645,583,,54.0,50.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1960.0,False,,,False,
21644,539,,52.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21643,705,,108.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1995.0,False,True,,False,
21642,568,,65.0,52.0,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1963.0,False,True,,False,
21641,656,,102.0,81.0,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1964.0,False,,,False,
21640,736,,80.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1999.0,True,True,,True,
21639,933,,108.0,,2,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2002.0,True,True,True,True,
21638,979,,80.0,,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2000.0,True,True,True,True,
21637,600,,16.0,,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1970.0,False,,,False,
21636,493,,54.0,50.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1964.0,False,,,False,
21635,948,,70.0,,2,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,True,True,True,
21634,725,,99.0,,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,2007.0,True,,,False,
21633,1135,,123.0,,4,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,,True,True,,False,
21632,557,,64.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21631,1005,,107.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21630,813,,76.0,,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21629,988,,109.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21628,979,,108.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21627,1026,,103.0,79.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,False,
21626,1052,,103.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21625,1094,,143.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21624,1024,,99.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
21623,1024,,100.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,,True,True,
